Județ,Tip,Website
Alba,Prefectură,http://ab.prefectura.mai.gov.ro
Alba,Consiliu Județean,https://judetul-alba.ro
Arad,Prefectură,http://ar.prefectura.mai.gov.ro
Arad,Consiliu Județean,https://cjarad.ro
Argeș,Prefectură,http://ag.prefectura.mai.gov.ro
Argeș,Consiliu Județean,https://cjarges.ro
Bacău,Prefectură,http://bc.prefectura.mai.gov.ro
Bacău,Consiliu Județean,https://csjbacau.ro
Bihor,Prefectură,http://bh.prefectura.mai.gov.ro
Bihor,Consiliu Județean,https://cjbihor.ro
Bistrița-Năsăud,Prefectură,http://bn.prefectura.mai.gov.ro
Bistrița-Năsăud,Consiliu Județean,https://portalbn.ro
Botoșani,Prefectură,http://bt.prefectura.mai.gov.ro
Botoșani,Consiliu Județean,https://cjbotosani.ro
Brăila,Prefectură,http://br.prefectura.mai.gov.ro
Brăila,Consiliu Județean,https://portal-braila.ro
Brașov,Prefectură,http://bv.prefectura.mai.gov.ro
Brașov,Consiliu Județean,https://judbrasov.ro
București,Prefectură,http://b.prefectura.mai.gov.ro
București,Consiliu General (PMB),https://www.pmb.ro
Buzău,Prefectură,http://bz.prefectura.mai.gov.ro
Buzău,Consiliu Județean,https://cjbuzau.ro
Călărași,Prefectură,http://cl.prefectura.mai.gov.ro
Călărași,Consiliu Județean,https://calarasi.ro
Caraș-Severin,Prefectură,http://cs.prefectura.mai.gov.ro
Caraș-Severin,Consiliu Județean,https://cjcs.ro
Cluj,Prefectură,http://cj.prefectura.mai.gov.ro
Cluj,Consiliu Județean,https://cjcluj.ro
Constanța,Prefectură,http://ct.prefectura.mai.gov.ro
Constanța,Consiliu Județean,https://www.cjc.ro
Covasna,Prefectură,http://cv.prefectura.mai.gov.ro
Covasna,Consiliu Județean,https://kvmt.ro
Dâmbovița,Prefectură,http://db.prefectura.mai.gov.ro
Dâmbovița,Consiliu Județean,https://cjd.ro
Dolj,Prefectură,http://dj.prefectura.mai.gov.ro
Dolj,Consiliu Județean,https://cjdolj.ro
Galați,Prefectură,http://gl.prefectura.mai.gov.ro
Galați,Consiliu Județean,https://cjgalati.ro
Giurgiu,Prefectură,http://gr.prefectura.mai.gov.ro
Giurgiu,Consiliu Județean,https://cjgiurgiu.ro
Gorj,Prefectură,http://gj.prefectura.mai.gov.ro
Gorj,Consiliu Județean,https://cjgorj.ro
Harghita,Prefectură,http://hr.prefectura.mai.gov.ro
Harghita,Consiliu Județean,https://judetulharghita.ro
Hunedoara,Prefectură,http://hd.prefectura.mai.gov.ro
Hunedoara,Consiliu Județean,https://cjhunedoara.ro
Ialomița,Prefectură,http://il.prefectura.mai.gov.ro
Ialomița,Consiliu Județean,https://cjialomita.ro
Iași,Prefectură,http://is.prefectura.mai.gov.ro
Iași,Consiliu Județean,https://www.icc.ro
Ilfov,Prefectură,http://if.prefectura.mai.gov.ro
Ilfov,Consiliu Județean,https://cjilfov.ro
Maramureș,Prefectură,http://mm.prefectura.mai.gov.ro
Maramureș,Consiliu Județean,https://cjmaramures.ro
Mehedinți,Prefectură,http://mh.prefectura.mai.gov.ro
Mehedinți,Consiliu Județean,https://cjmehedinti.ro
Mureș,Prefectură,http://ms.prefectura.mai.gov.ro
Mureș,Consiliu Județean,https://cjmures.ro
Neamț,Prefectură,http://nt.prefectura.mai.gov.ro
Neamț,Consiliu Județean,https://cjneamt.ro
Olt,Prefectură,http://ot.prefectura.mai.gov.ro
Olt,Consiliu Județean,https://cjolt.ro
Prahova,Prefectură,http://ph.prefectura.mai.gov.ro
Prahova,Consiliu Județean,https://www.cjph.ro
Sălaj,Prefectură,http://sj.prefectura.mai.gov.ro
Sălaj,Consiliu Județean,https://www.cjsj.ro
Satu Mare,Prefectură,http://sm.prefectura.mai.gov.ro
Satu Mare,Consiliu Județean,https://www.cjsm.ro
Sibiu,Prefectură,http://sb.prefectura.mai.gov.ro
Sibiu,Consiliu Județean,https://cjsibiu.ro
Suceava,Prefectură,http://sv.prefectura.mai.gov.ro
Suceava,Consiliu Județean,https://cjsuceava.ro
Teleorman,Prefectură,http://tr.prefectura.mai.gov.ro
Teleorman,Consiliu Județean,https://cjteleorman.ro
Timiș,Prefectură,http://tm.prefectura.mai.gov.ro
Timiș,Consiliu Județean,https://www.cjtimis.ro
Tulcea,Prefectură,http://tl.prefectura.mai.gov.ro
Tulcea,Consiliu Județean,https://cjtulcea.ro
Vâlcea,Prefectură,http://vl.prefectura.mai.gov.ro
Vâlcea,Consiliu Județean,https://cjvalcea.ro
Vaslui,Prefectură,http://vs.prefectura.mai.gov.ro
Vaslui,Consiliu Județean,https://www.cjvs.eu
Vrancea,Prefectură,http://vn.prefectura.mai.gov.ro
Vrancea,Consiliu Județean,https://cjvrancea.ro
